"dataset" "subject_id" "activity" "tBodyAcc.mean.X" "tBodyAcc.mean.Y" "tBodyAcc.mean.Z" "tBodyAcc.std.X" "tBodyAcc.std.Y" "tBodyAcc.std.Z" "tGravityAcc.mean.X" "tGravityAcc.mean.Y" "tGravityAcc.mean.Z" "tGravityAcc.std.X" "tGravityAcc.std.Y" "tGravityAcc.std.Z" "tBodyAccJerk.mean.X" "tBodyAccJerk.mean.Y" "tBodyAccJerk.mean.Z" "tBodyAccJerk.std.X" "tBodyAccJerk.std.Y" "tBodyAccJerk.std.Z" "tBodyGyro.mean.X" "tBodyGyro.mean.Y" "tBodyGyro.mean.Z" "tBodyGyro.std.X" "tBodyGyro.std.Y" "tBodyGyro.std.Z" "tBodyGyroJerk.mean.X" "tBodyGyroJerk.mean.Y" "tBodyGyroJerk.mean.Z" "tBodyGyroJerk.std.X" "tBodyGyroJerk.std.Y" "tBodyGyroJerk.std.Z" "tBodyAccMag.mean" "tBodyAccMag.std" "tGravityAccMag.mean" "tGravityAccMag.std" "tBodyAccJerkMag.mean" "tBodyAccJerkMag.std" "tBodyGyroMag.mean" "tBodyGyroMag.std" "tBodyGyroJerkMag.mean" "tBodyGyroJerkMag.std" "fBodyAcc.mean.X" "fBodyAcc.mean.Y" "fBodyAcc.mean.Z" "fBodyAcc.std.X" "fBodyAcc.std.Y" "fBodyAcc.std.Z" "fBodyAccJerk.mean.X" "fBodyAccJerk.mean.Y" "fBodyAccJerk.mean.Z" "fBodyAccJerk.std.X" "fBodyAccJerk.std.Y" "fBodyAccJerk.std.Z" "fBodyGyro.mean.X" "fBodyGyro.mean.Y" "fBodyGyro.mean.Z" "fBodyGyro.std.X" "fBodyGyro.std.Y" "fBodyGyro.std.Z" "fBodyAccMag.mean" "fBodyAccMag.std" "fBodyAccJerkMag.mean" "fBodyAccJerkMag.std" "fBodyGyroMag.mean" "fBodyGyroMag.std" "fBodyGyroJerkMag.mean" "fBodyGyroJerkMag.std"
"train_set" 8 "WALKING_DOWNSTAIRS" 0.3525819 -0.049331892 -0.073347147 0.039047448 0.081700096 0.2452707 0.86364951 -0.13136269 -0.31766378 -0.9399869 -0.88452985 -0.83630413 0.09760589 -0.097101229 0.044283364 0.26576377 0.10120735 0.10821978 0.37533935 -0.16004648 -0.30087928 -0.49487698 -0.069885047 -0.19833115 -0.354227 -0.069093839 -0.0025659265 -0.38414788 -0.12255907 -0.19869504 0.18139366 0.0078089936 0.18139366 0.0078089936 0.31023944 0.14068534 -0.034444209 -0.21306943 -0.17470957 -0.23811683 -0.017640919 0.044341086 0.14563713 0.060568762 0.032978089 0.20164735 0.12791697 0.020689853 0.13628359 0.29486971 0.11697368 0.083282991 -0.31241416 -0.080940861 -0.15186737 -0.55351758 -0.069705507 -0.28740469 0.15887311 -0.24557918 0.21331792 0.03384531 -0.2158408 -0.34853346 -0.21817869 -0.3203986
"train_set" 26 "WALKING" 0.31120947 -0.032344651 -0.13396012 -0.40342379 -0.19884058 -0.3608208 0.9559014 -0.12797501 0.11749715 -0.98842591 -0.97617202 -0.97871559 -0.34876916 0.14387129 0.49496781 -0.40011834 -0.33654083 -0.4382419 -0.04150971 -0.02492815 0.078580312 -0.60113468 -0.55697594 -0.39370872 -0.053598345 -0.03084685 0.13160187 -0.53949199 -0.55834717 -0.53612416 -0.29292376 -0.44430133 -0.29292376 -0.44430133 -0.36873905 -0.3214781 -0.46146328 -0.58734426 -0.53417292 -0.61781707 -0.32457264 -0.20524647 -0.3132242 -0.43739678 -0.24581072 -0.44418377 -0.41416842 -0.3462387 -0.44250035 -0.43903576 -0.37244935 -0.43314786 -0.50075253 -0.52708353 -0.32593175 -0.63298464 -0.57961574 -0.47303499 -0.42307922 -0.54249693 -0.32939555 -0.31572825 -0.61920269 -0.63606394 -0.65428057 -0.59985737
"test_set" 12 "WALKING_UPSTAIRS" 0.272496 -0.055571745 -0.18017607 -0.3856018 0.035503707 -0.36524261 0.92269254 -0.31881449 0.021916111 -0.98012252 -0.96905063 -0.92697503 -0.01974179 0.12879287 -0.17421682 -0.48042691 -0.072884359 -0.79112641 -0.025588521 -0.24284917 0.070667689 0.026253533 -0.43903074 -0.58538662 0.37092069 -0.26052528 -0.2494512 -0.45596282 -0.79772973 -0.63955167 -0.24764117 -0.26956455 -0.24764117 -0.26956455 -0.4355505 -0.31990723 -0.11383911 0.0042524987 -0.67805424 -0.68480801 -0.3887123 0.034332252 -0.57552863 -0.38428639 -0.02936781 -0.31499222 -0.48971093 -0.14565314 -0.77178238 -0.51738938 -0.054128332 -0.80863947 0.15153222 -0.51909401 -0.47607331 -0.017340525 -0.39862657 -0.66621535 -0.21165507 -0.41771684 -0.26683997 -0.38621078 -0.19822432 -0.037685126 -0.67565709 -0.71935629
"train_set" 27 "WALKING" 0.24139679 -0.039096788 -0.15647682 -0.3923381 -0.15058957 -0.33984831 0.96807446 -0.15557343 -0.025503886 -0.98759704 -0.99124424 -0.99098725 -0.29282318 0.13441378 0.023700835 -0.34208274 -0.006676598 -0.40688071 -0.0073555447 -0.027181984 0.09162024 -0.61836498 -0.69344827 -0.29140976 0.0089867081 -0.13761097 -0.29948947 -0.54422357 -0.79987226 -0.46320037 -0.2661097 -0.43558326 -0.2661097 -0.43558326 -0.23330597 -0.20533287 -0.49320864 -0.61898657 -0.65445774 -0.72985854 -0.32750526 -0.095708275 -0.31366515 -0.41975687 -0.2355109 -0.41028797 -0.38247062 -0.10021827 -0.34088641 -0.35775002 0.030236949 -0.47149601 -0.49428102 -0.71614284 -0.33628389 -0.65791135 -0.68228334 -0.34195455 -0.36496883 -0.56705625 -0.23904165 -0.16716592 -0.65054115 -0.66247973 -0.73081651 -0.7464681
"train_set" 3 "WALKING_DOWNSTAIRS" 0.43396328 -0.013693566 -0.055880867 0.28818319 0.41733061 -0.28140454 0.89954002 -0.27712707 -0.12866409 -0.95648157 -0.90990051 -0.93050501 -0.12020574 0.16098395 0.00064545011 0.45804663 0.5296971 -0.51355595 -0.17326879 0.068355892 0.11311726 -0.35355836 -0.56643445 -0.14955844 -0.45067801 0.032283227 -0.021025519 0.099638317 -0.62244012 0.049534517 0.3115353 0.19904878 0.3115353 0.19904878 0.29320459 0.36627982 -0.26585807 -0.36539323 -0.28482136 -0.36642192 0.42824913 0.4559516 -0.3167657 0.22859934 0.30582668 -0.3185322 0.46308726 0.3888869 -0.45016527 0.31785719 0.58277321 -0.5769915 -0.018864476 -0.53855482 0.058108608 -0.46759414 -0.58765341 -0.3078323 0.46045741 -0.16489795 0.45886521 0.22769459 -0.30832847 -0.52614 -0.3616959 -0.41691875
"train_set" 14 "SITTING" 0.2757861 -0.019642742 -0.099811915 -0.98792918 -0.96783672 -0.92848183 0.97091139 -0.022006094 0.10306347 -0.9944047 -0.98730599 -0.97041241 0.077459777 0.00928455 -0.04265862 -0.98926755 -0.98812444 -0.98517221 -0.026113422 -0.095210819 0.10661574 -0.98578384 -0.95149029 -0.96379593 -0.090940706 -0.025468886 -0.072810595 -0.99327056 -0.98765165 -0.99255992 -0.9638731 -0.96581331 -0.9638731 -0.96581331 -0.98819551 -0.98818973 -0.95923089 -0.96677116 -0.99090275 -0.98944446 -0.98805621 -0.97773282 -0.95552407 -0.98771397 -0.96422586 -0.9197532 -0.98937045 -0.98800196 -0.98147657 -0.99009203 -0.98913458 -0.98776347 -0.98383905 -0.96552073 -0.96985912 -0.98634105 -0.9446332 -0.96501715 -0.96987213 -0.96762232 -0.98554116 -0.99168352 -0.97496314 -0.96693217 -0.98937917 -0.98984908
"test_set" 4 "WALKING_DOWNSTAIRS" 0.22827325 0.007316065 -0.067012121 -0.28479772 -0.46495504 -0.53685754 0.95029715 -0.12249169 0.1337998 -0.95203877 -0.96294026 -0.92802787 -0.086508298 0.01194873 0.048218261 -0.40174222 -0.33472399 -0.6286986 -0.34484678 0.1173243 -0.037810229 -0.62699919 -0.75996114 -0.51437458 0.1568334 -0.029895729 0.10619246 -0.50371633 -0.80201826 -0.30102956 -0.29785407 -0.42800727 -0.29785407 -0.42800727 -0.40425633 -0.44663275 -0.49081818 -0.5150517 -0.63689744 -0.6129003 -0.34961081 -0.35966092 -0.54031116 -0.26069989 -0.56544384 -0.5719684 -0.41190218 -0.33119395 -0.58835958 -0.44492753 -0.38786595 -0.66758268 -0.44039926 -0.75410042 -0.31147109 -0.69005194 -0.7652942 -0.64813104 -0.35838801 -0.56001121 -0.43241499 -0.46865821 -0.51824121 -0.59750646 -0.60248612 -0.65298227
"train_set" 21 "SITTING" 0.27050008 -0.012731065 -0.10308589 -0.99572228 -0.9858832 -0.98074182 0.86537092 0.28439438 0.22984494 -0.99396235 -0.99025748 -0.98458396 0.07622881 0.00044698174 -0.013906939 -0.98955081 -0.9829472 -0.99219517 -0.028287034 -0.080798508 0.081750894 -0.99177746 -0.98989397 -0.99206201 -0.099848771 -0.042881228 -0.05632093 -0.98719299 -0.99256277 -0.98898287 -0.9893736 -0.98892376 -0.9893736 -0.98892376 -0.98939631 -0.99262672 -0.99063551 -0.99054098 -0.99129374 -0.99241304 -0.99337236 -0.98117595 -0.9840934 -0.99709223 -0.98872588 -0.97927379 -0.98970891 -0.98220922 -0.99073042 -0.99028006 -0.98519753 -0.99218582 -0.98801342 -0.99067005 -0.9897854 -0.99300628 -0.98938778 -0.9936825 -0.98770223 -0.99056695 -0.99100313 -0.99403611 -0.98957955 -0.99296254 -0.9922833 -0.99274239
"test_set" 2 "WALKING_DOWNSTAIRS" 0.24829116 -0.060992823 -0.17012592 0.11929412 0.54443217 -0.23620315 0.86951971 -0.3201574 0.1154757 -0.90422079 -0.85480947 -0.97683673 0.044990279 0.38107172 0.1507171 0.36081885 0.49822651 -0.4527689 0.41255625 -0.32557809 0.30839096 -0.3570588 -0.26610276 -0.26591606 -0.081117114 0.13863492 -0.17931545 0.086205216 -0.1635791 -0.023076736 0.18222913 0.29244221 0.18222913 0.29244221 0.14262152 0.52508657 -0.10241289 -0.11123238 -0.2214838 0.10331295 0.13937752 0.55982266 -0.25724121 0.11126825 0.43778437 -0.28543135 0.33726598 0.41125226 -0.40549781 0.2630425 0.49438741 -0.49760255 -0.10331733 -0.16787547 0.024949034 -0.43946925 -0.33927737 -0.45905604 0.40206457 0.024895505 0.48848653 0.55851518 -0.11147403 -0.26554313 -0.077103936 0.23039201
"train_set" 22 "SITTING" 0.28244149 -0.020204406 -0.1163736 -0.98921054 -0.9790391 -0.98484704 0.67280197 0.3887507 0.45934428 -0.98984431 -0.9910784 -0.98426538 0.073284352 0.010795482 0.0075184972 -0.99165198 -0.98585918 -0.9957207 -0.026406828 -0.067755996 0.078076746 -0.99431175 -0.98476553 -0.98075346 -0.09908356 -0.041773287 -0.050929821 -0.99676563 -0.99455271 -0.9951061 -0.9876232 -0.98351575 -0.9876232 -0.98351575 -0.99274049 -0.9946962 -0.98642242 -0.98594945 -0.99595396 -0.9962498 -0.99022171 -0.98298097 -0.98939942 -0.98861407 -0.97728165 -0.98237582 -0.99128469 -0.98610734 -0.99269908 -0.99287239 -0.9865292 -0.99803605 -0.99415039 -0.98876877 -0.98673719 -0.99429746 -0.9826145 -0.98050762 -0.98708505 -0.98281621 -0.99358994 -0.99532549 -0.99060482 -0.98512621 -0.99571369 -0.99707865
